Title,Rating,Reviews,Phone,WhatsApp,Instagram,Facebook,Industry,Address,Website,Image,Amenities,Pitch,Latitude,Longitude,Google Maps Link,Source Query,City
M Lhuillier - Balabac,5.0,(3),947 999 2472,https://wa.me/9479992472,,,ATM,0947 999 2472,https://mlhuillier.com/,,,,7.9864375,117.0629375,https://www.google.com/maps/place/M+Lhuillier+-+Balabac/data=!4m7!3m6!1s0x32314f59cc060aed:0xd25a72f2e209904f!8m2!3d7.9864375!4d117.0629375!16s%2Fg%2F11x_jm81y1!19sChIJ7QoGzFlPMTIRT5AJ4vJyWtI?authuser=0&hl=en&rclk=1,"atm in Balabac, Palawan, Philippines",Balabac
Balabac Port,3.6,(12),,,,,Public Wi-Fi,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFoJ_eMn7DtVDgrh-nRIUui05kVoy0FtIUynX_OhOZzIiHkEzKfBFhUDB7AK_NMbuTQTCQNrCs0617NWNPbRdi7O3EGQBRAvYi5pDowxvSx7VOEQ8Bo5Z9YuuthKawtHOU4Sg1NtA=w1600-h1200-k-no,,,7.9882473,117.064937,https://www.google.com/maps/place/Balabac+Port/data=!4m7!3m6!1s0x32314f12ea8806cd:0x38e7db80b2d005b1!8m2!3d7.9882473!4d117.064937!16s%2Fg%2F11tss480f0!19sChIJzQaI6hJPMTIRsQXQsoDb5zg?authuser=0&hl=en&rclk=1,"public wifi in Balabac, Palawan, Philippines",Balabac
ONOK ISLAND,4.8,(328),,,,,Public Wi-Fi,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH9fZ9GgsEHEpZmI0fbBVokD_kZyOB2UkIK6UBcz7L9Zsu6wWUWbhdWh-fG1BBUZ9B3ZOYnEdDeZryAu8VTnT899hnujYrtGEICvnT-6EytdEaAji6FW8vcnyiUQR5zANmVS5Y2Hw=w1600-h1200-k-no,,,8.0165663,117.2106202,https://www.google.com/maps/place/ONOK+ISLAND/data=!4m7!3m6!1s0x32314fc14f6e136f:0x4eb861107235194f!8m2!3d8.0165663!4d117.2106202!16s%2Fg%2F11krsyxnwf!19sChIJbxNuT8FPMTIRTxk1chBhuE4?authuser=0&hl=en&rclk=1,"public wifi in Balabac, Palawan, Philippines",Balabac
Sicsican Island Camp,4.6,(67),,,,,Public Wi-Fi,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFRAdcClUPDE3Mjdq5_i6IZcaK6syGOaYvCTXDXaCTHmSTRBd0ZVFqKyySnoh-bo1qmnucDbuF4-vzTDgmYCTdl4stNGUhBWtwhylRQqOBTJAjIaWLLHY5-u-UfStkQo4rVjDBb=w1600-h1200-k-no,,,8.0820787,117.0792999,https://www.google.com/maps/place/Sicsican+Island+Camp/data=!4m7!3m6!1s0x323151643b0b961d:0xdc87d3a698ae5500!8m2!3d8.0820787!4d117.0792999!16s%2Fg%2F11t30z27jg!19sChIJHZYLO2RRMTIRAFWumKbTh9w?authuser=0&hl=en&rclk=1,"public wifi in Balabac, Palawan, Philippines",Balabac
Kap Andong Travellers Inn [Powered by KilometerZeroPH],4.6,(22),,,,,Public Wi-Fi,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG9EPK03fR1WWOcXNujj3_3Wcfv-Lz3GBJmDZLdgDkPz8hfRyD8WfaLONAWj0v88_8r_WsE4iLRE9nWSzjF_-IYdjpc2f8WtWNDmLLZ1zZYy157VF67ypcRFO4C2rDbfmVoIZUSIw=w1600-h1200-k-no,,,8.0005655,117.0627956,https://www.google.com/maps/place/Kap+Andong+Travellers+Inn+%5BPowered+by+KilometerZeroPH%5D/data=!4m7!3m6!1s0x32314f9a73a5c809:0xd2ddbe6aaf2c3fa8!8m2!3d8.0005655!4d117.0627956!16s%2Fg%2F11h875vwj7!19sChIJCcilc5pPMTIRqD8sr2q-3dI?authuser=0&hl=en&rclk=1,"public wifi in Balabac, Palawan, Philippines",Balabac
Isla Malaya Camp & Tours Balabac,3.5,(35),,,,,Public Wi-Fi,58 Candaraman Island,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFQ0QxE63jINyfdbqoRZIh8Blj8WP74O7_Gx-S2W6nI7U7t1E5HliXZpHg50URQGCyX_2UEiPtHy6yA-6AJvR1-ZVFnxWampdlEUKAUGjYwQEGbie3T5CD9NzShTz5YGXn4PpI0mwM6ZgXn=w1600-h1200-k-no,,,8.0897987,117.1029518,https://www.google.com/maps/place/Isla+Malaya+Camp+%26+Tours+Balabac/data=!4m7!3m6!1s0x3231530027325127:0xe323031ace6b31c8!8m2!3d8.0897987!4d117.1029518!16s%2Fg%2F11vyt1lr4z!19sChIJJ1EyJwBTMTIRyDFrzhoDI-M?authuser=0&hl=en&rclk=1,"public wifi in Balabac, Palawan, Philippines",Balabac
Kap Andong Travel and Tours,4.7,(49),,,,,Public Wi-Fi,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE2WYRCRbfZ2HJ1kbPvAUItpjFer61MoeQTqR8EGSy3STUTZOWUBDtvhsZIQOFwWz4_ud2l-F9z4ENpRfRhx2WAmjoK-GsSbmJZQw_AUA7M1IxCImQxaMtY28aqPITFUJH_uEDZbRVMSCA=w1600-h1200-k-no,,,8.0011239,117.063733,https://www.google.com/maps/place/Kap+Andong+Travel+and+Tours/data=!4m7!3m6!1s0x32314fd11ed52331:0xfa2c28e118a620b6!8m2!3d8.0011239!4d117.063733!16s%2Fg%2F11k3vhnyg8!19sChIJMSPVHtFPMTIRtiCmGOEoLPo?authuser=0&hl=en&rclk=1,"public wifi in Balabac, Palawan, Philippines",Balabac
loren joy store,5.0,(4),,,https://www.instagram.com/lorenjoy599,https://www.facebook.com/Loren-Joy-store-101880928358779,Convenience Store,"X3Q9+GGJ, Balabac, Palawan",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGzAcR-aT8X4GizW13xIY_Qrdz9y-I7atL98de5Upoy0l3aNMq8ojHnytOM6lFbtia8NtAlFudaLbKcFTLA1a-r0xJBq7JgZO4dCKIICxdgBzJDGq112FntxoY2mKUSxZJN6oDe=w2048-h1536-k-no,,,7.9888341,117.0687766,https://www.google.com/maps/place/loren+joy+store/data=!4m7!3m6!1s0x32314f189554bfa9:0xcf5e048579121d6!8m2!3d7.9888341!4d117.0687766!16s%2Fg%2F11mvqrf05h!19sChIJqb9UlRhPMTIR1iGRV0jg9Qw?authuser=0&hl=en&rclk=1,"convenience store in Balabac, Palawan, Philippines",Balabac
Cabrera sari sari store,5.0,(1),,,https://www.instagram.com/sari_cabreraa,https://www.facebook.com/Cabrera-Sari-Sari-STORE-110657558619178,Convenience Store,"X3P7+658, Quezon St, Balabac, Palawan",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHjiTsWFQDdGsrufdHsLV1W0CdwT29sJdnoK0o21BeJUZPDWtvDi5wWRnCJAVZ19z38ykrpDT3hkev-GUzUozxASiOSkkwDbmddC7NkYCXNJ7xm8Cul0_m6ufQOzgTsUM6SqCTd=w2048-h1536-k-no,,,7.9855318,117.0629396,https://www.google.com/maps/place/Cabrera+sari+sari+store/data=!4m7!3m6!1s0x32314f516f2e1a7f:0x7cad3019d9431eea!8m2!3d7.9855318!4d117.0629396!16s%2Fg%2F11hx35njqr!19sChIJfxoub1FPMTIR6h5D2RkwrXw?authuser=0&hl=en&rclk=1,"convenience store in Balabac, Palawan, Philippines",Balabac
Isla Brew D,5.0,(1),09165730098,https://wa.me/09165730098,https://www.instagram.com/islabrewcoffee,https://www.facebook.com/61586757976465,Convenience Store,"X3P7+QVP, 4, Balabac, Palawan",,https://streetviewpixels-pa.googleapis.com/?cb_client,,,7.9867068,117.0646742,https://www.google.com/maps/place/Isla+Brew+D/data=!4m7!3m6!1s0x32314f0066a33d33:0xbcef65e0f6d4fac4!8m2!3d7.9867068!4d117.0646742!16s%2Fg%2F11n44t793t!19sChIJMz2jZgBPMTIRxPrU9uBl77w?authuser=0&hl=en&rclk=1,"convenience store in Balabac, Palawan, Philippines",Balabac
