Title,Rating,Reviews,Phone,WhatsApp,Instagram,Facebook,Industry,Address,Website,Image,Amenities,Pitch,Latitude,Longitude,Google Maps Link
KRAKEN TOURS,,,,,,,Experience,El Nido Palawan Philippines,,,,,,,https://www.google.com/maps/search/KRAKEN+TOURS+El+Nido+Palawan
Pawikan Hostel El Nido,,,,,,,Hostel,El Nido Palawan Philippines,,,,,,,https://www.google.com/maps/search/Pawikan+Hostel+El+Nido+Palawan
The Funny Lion - El Nido,,,,,,,Hotel,El Nido Palawan Philippines,,,,,,,https://www.google.com/maps/search/The+Funny+Lion+El+Nido+Palawan
Legacy 2.0 Bread & Chaolong House,,,,,,,Restaurant,El Nido Palawan Philippines,,,,,,,https://www.google.com/maps/search/Legacy+2.0+Bread+Chaolong+House+El+Nido+Palawan
Aliyah's Hostel,,,,,,,Hostel,El Nido Palawan Philippines,,,,,,,https://www.google.com/maps/search/Aliyahs+Hostel+El+Nido+Palawan
Andrei's Bed and Breakfast,,,,,,,Bed & breakfast,El Nido Palawan Philippines,,,,,,,https://www.google.com/maps/search/Andreis+Bed+and+Breakfast+El+Nido+Palawan
Casa Heneral Bed and Breakfast,,,,,,,Bed & breakfast,El Nido Palawan Philippines,,,,,,,https://www.google.com/maps/search/Casa+Heneral+Bed+and+Breakfast+El+Nido+Palawan
Colibris Corner,,,,,,,Hotel,El Nido Palawan Philippines,,,,,,,https://www.google.com/maps/search/Colibris+Corner+El+Nido+Palawan
Entalula Bed & Breakfast,,,,,,,Bed & breakfast,El Nido Palawan Philippines,,,,,,,https://www.google.com/maps/search/Entalula+Bed+and+Breakfast+El+Nido+Palawan
Happiness Boutique Resort El Nido,,,,,,,Resort,El Nido Palawan Philippines,,,,,,,https://www.google.com/maps/search/Happiness+Boutique+Resort+El+Nido+Palawan
Happiness Boutique Resort Restaurant,,,,,,,Restaurant,El Nido Palawan Philippines,,,,,,,https://www.google.com/maps/search/Happiness+Boutique+Resort+Restaurant+El+Nido+Palawan
Jurias Garden Hotel,,,,,,,Hotel,El Nido Palawan Philippines,,,,,,,https://www.google.com/maps/search/Jurias+Garden+Hotel+El+Nido+Palawan
Kame House Backpackers,,,,,,,Hostel,El Nido Palawan Philippines,,,,,,,https://www.google.com/maps/search/Kame+House+Backpackers+El+Nido+Palawan
La Soledad Guest House,,,,,,,Guesthouse,El Nido Palawan Philippines,,,,,,,https://www.google.com/maps/search/La+Soledad+Guest+House+El+Nido+Palawan
La Vida Bonita Bed and Breakfast,,,,,,,Bed & breakfast,Port Barton Palawan Philippines,,,,,,,https://www.google.com/maps/search/La+Vida+Bonita+Bed+and+Breakfast+Port+Barton+Palawan
Nipa Sunset,,,,,,,Bed & breakfast,El Nido Palawan Philippines,,,,,,,https://www.google.com/maps/search/Nipa+Sunset+El+Nido+Palawan
Perch El Nido,,,,,,,Hotel,El Nido Palawan Philippines,,,,,,,https://www.google.com/maps/search/Perch+El+Nido+Palawan
Seaslugs Travellers Inn,,,,,,,Inn,El Nido Palawan Philippines,,,,,,,https://www.google.com/maps/search/Seaslugs+Travellers+Inn+El+Nido+Palawan
Telesfora Beach Cottage,,,,,,,Bed & breakfast,El Nido Palawan Philippines,,,,,,,https://www.google.com/maps/search/Telesfora+Beach+Cottage+El+Nido+Palawan
The Birdhouse El Nido,,,,,,,Hotel,El Nido Palawan Philippines,,,,,,,https://www.google.com/maps/search/The+Birdhouse+El+Nido+Palawan
Tommy's Transient House,,,,,,,Bed & breakfast,El Nido Palawan Philippines,,,,,,,https://www.google.com/maps/search/Tommys+Transient+House+El+Nido+Palawan
Urbanview @ BNKY Bed & Breakfast Palawan by RedDoorz,,,,,,,Bed & breakfast,El Nido Palawan Philippines,,,,,,,https://www.google.com/maps/search/Urbanview+BNKY+Bed+and+Breakfast+El+Nido+Palawan
Wilnag's Guest house,,,,,,,Guesthouse,El Nido Palawan Philippines,,,,,,,https://www.google.com/maps/search/Wilnag+Guest+house+El+Nido+Palawan
